NOMEDEP;DE;DISTR;MUN;TIPOESC;COD_ESC;NOMESC;DS_PAIS;Nº alunos
ESTADUAL - SE;ASSIS;ASSIS;ASSIS;08;0033261;CLYBAS PINTO FERRAZ DR;México;1
ESTADUAL - SE;ASSIS;ASSIS;ASSIS;08;0033261;CLYBAS PINTO FERRAZ DR;Portugal;1
ESTADUAL - SE;ASSIS;PEDRINHAS PAULISTA;PEDRINHAS PAULISTA;08;0033085;ANTONIO DE BENEDICTIS PROF DR;Itália;1
ESTADUAL - SE;AVARE;AVARE;AVARE;08;0014631;BENE ANDRADE DONA;Portugal;2
ESTADUAL - SE;AVARE;ITAI;ITAI;15;0453572;PENITENCIARIA CABO P M MARCELO PIRES DA SILVA;Colômbia;23
ESTADUAL - SE;AVARE;ITAI;ITAI;15;0453572;PENITENCIARIA CABO P M MARCELO PIRES DA SILVA;Líbano;12
ESTADUAL - SE;AVARE;ITAI;ITAI;15;0453572;PENITENCIARIA CABO P M MARCELO PIRES DA SILVA;Libéria;3
ESTADUAL - SE;AVARE;ITAI;ITAI;15;0453572;PENITENCIARIA CABO P M MARCELO PIRES DA SILVA;México;7
ESTADUAL - SE;AVARE;ITAI;ITAI;15;0453572;PENITENCIARIA CABO P M MARCELO PIRES DA SILVA;Serra Leoa;5
ESTADUAL - SE;BAURU;AGUDOS;AGUDOS;08;0026037;JOAO BATISTA RIBEIRO;Angola;1
ESTADUAL - SE;BAURU;BAURU;BAURU;08;0025276;LUIZ ZUIANI DR;Peru;2
ESTADUAL - SE;BAURU;BAURU;BAURU;08;0025461;SILVERIO SAO JOAO PROF;Angola;2
ESTADUAL - SE;BAURU;BAURU;BAURU;08;0025495;MERCEDES PAZ BUENO PROFA;Japão;1
ESTADUAL - SE;BAURU;BAURU;BAURU;08;0441818;RAYMI OLIVEIRA BAPTISTA PEREIRA PROFESSORA;Portugal;1
ESTADUAL - SE;BAURU;BAURU;BAURU;08;0565696;PROFA MARIA EUNICE BORGES DE MIRANDA REIS;Peru;1
ESTADUAL - SE;BAURU;BAURU;BAURU;08;0900990;ANTONIO GUEDES DE AZEVEDO PROF;Japão;1
ESTADUAL - SE;BAURU;BAURU;BAURU;08;0920484;MARTA APARECIDA HJERTQUIST BARBOSA PROFA;Angola;2
ESTADUAL - SE;BAURU;LENCOIS PAULISTA;LENCOIS PAULISTA;08;0025902;LEONINA ALVES CONEGLIAN PROFA;Portugal;1
ESTADUAL - SE;BIRIGUI;BIRIGUI;BIRIGUI;08;0030259;VICENTE FELICIO PRIMO;Japão;1
ESTADUAL - SE;BIRIGUI;BIRIGUI;BIRIGUI;08;0048562;IZABEL DE ALMEIDA MARIN PROFESSORA;Japão;1
ESTADUAL - SE;BIRIGUI;BIRIGUI;BIRIGUI;08;0917643;GERACINA DE MENEZES SANCHES PROFESSORA;Portugal;1
ESTADUAL - SE;BIRIGUI;BIRIGUI;BIRIGUI;08;0923382;ANTONIO SALES OLIVEIRA PROFESSOR;Venezuela;1
ESTADUAL - SE;BOTUCATU;BOTUCATU;BOTUCATU;08;0014795;LUCIO ANTUNES DE SOUZA DOM;Colômbia;1
ESTADUAL - SE;BRAGANCA PAULISTA;ATIBAIA;ATIBAIA;08;0018041;JUVENAL ALVIM MAJOR;Argentina;1
ESTADUAL - SE;BRAGANCA PAULISTA;BOM JESUS DOS PERDOES;BOM JESUS DOS PERDOES;08;0045627;JOSE MANOEL ALVARES ROSENDE PROFESSOR;Japão;1
ESTADUAL - SE;BRAGANCA PAULISTA;BRAGANCA PAULISTA;BRAGANCA PAULISTA;08;0907327;MARCOS ANTONIO DA SILVA GUIMARAES PROFESSOR;Japão;1
ESTADUAL - SE;BRAGANCA PAULISTA;BRAGANCA PAULISTA;BRAGANCA PAULISTA;08;0921185;FERNANDO AMOS SIRIANI DR;Bolívia;1
ESTADUAL - SE;BRAGANCA PAULISTA;NAZARE PAULISTA;NAZARE PAULISTA;08;0912897;CLELIA DE BARROS LEITE DA SILVA PROFESSORA;Itália;1
ESTADUAL - SE;BRAGANCA PAULISTA;PIRACAIA;PIRACAIA;08;0017851;JOAO DE MORAES GOES;Portugal;1
ESTADUAL - SE;CAIEIRAS;FRANCISCO MORATO;FRANCISCO MORATO;08;0005502;BELEM DA SERRA;Bolívia;1
ESTADUAL - SE;CAIEIRAS;FRANCISCO MORATO;FRANCISCO MORATO;08;0005502;BELEM DA SERRA;Haiti;3
ESTADUAL - SE;CAIEIRAS;FRANCISCO MORATO;FRANCISCO MORATO;08;0923631;APARECIDO ROBERTO TONELLOTTI PROFESSOR;Peru;1
ESTADUAL - SE;CAIEIRAS;FRANCO DA ROCHA;FRANCO DA ROCHA;08;0005678;ISAURA DE MIRANDA BOTTO PROFA;Haiti;4
ESTADUAL - SE;CAIEIRAS;FRANCO DA ROCHA;FRANCO DA ROCHA;08;0902676;PAULO DUARTE;Japão;2
