NOMEDEP;DE;DISTR;MUN;TIPOESC;COD_ESC;NOMESC;DS_PAIS;Nº ALUNOS
ESTADUAL - SE;GUARULHOS SUL;GUARULHOS SUL;GUARULHOS;8;900163;ALAYDE MARIA VICENTE PROFESSORA;Itália;1
ESTADUAL - SE;JUNDIAI;JUNDIAI;JUNDIAI;8;19835;ALBERTINA FORTAREL PROFESSORA;Haiti;1
ESTADUAL - SE;JUNDIAI;JUNDIAI;JUNDIAI;8;19835;ALBERTINA FORTAREL PROFESSORA;Japão;1
ESTADUAL - SE;JUNDIAI;JUNDIAI;JUNDIAI;8;19835;ALBERTINA FORTAREL PROFESSORA;Portugal;1
ESTADUAL - SE;JUNDIAI;JUNDIAI;JUNDIAI;8;19835;ALBERTINA FORTAREL PROFESSORA;Síria;2
ESTADUAL - SE;JUNDIAI;JUNDIAI;JUNDIAI;8;19835;ALBERTINA FORTAREL PROFESSORA;Venezuela;2
ESTADUAL - SE;ARARAQUARA;AMERICO BRASILIENSE;AMERICO BRASILIENSE;8;907704;ALBERTO ALVES ROLLO DR;Venezuela;3
ESTADUAL - SE;SAO JOSE DO RIO PRETO;SAO JOSE DO RIO PRETO;SAO JOSE DO RIO PRETO;8;28538;ALBERTO ANDALO;Colômbia;2
ESTADUAL - SE;SUL 2;JARDIM SAO LUIS;SAO PAULO;8;41749;ALBERTO BADRA DOUTOR;Haiti;1
ESTADUAL - SE;SUL 2;JARDIM SAO LUIS;SAO PAULO;8;41749;ALBERTO BADRA DOUTOR;Venezuela;1
ESTADUAL - SE;NORTE 2;TUCURUVI;SAO PAULO;8;1016;ALBERTO CARDOSO DE MELLO NETO DR;Angola;1
ESTADUAL - SE;NORTE 2;TUCURUVI;SAO PAULO;8;1016;ALBERTO CARDOSO DE MELLO NETO DR;Bolívia;4
ESTADUAL - SE;NORTE 2;TUCURUVI;SAO PAULO;8;1016;ALBERTO CARDOSO DE MELLO NETO DR;Japão;1
ESTADUAL - SE;NORTE 2;TUCURUVI;SAO PAULO;8;1016;ALBERTO CARDOSO DE MELLO NETO DR;Venezuela;3
ESTADUAL - SE;SUL 1;SANTO AMARO;SAO PAULO;8;5162;ALBERTO CONTE PROFESSOR;Japão;1
ESTADUAL - SE;JUNDIAI;LOUVEIRA;LOUVEIRA;8;19549;ALBERTO FERREIRA REZENDE PROFESSOR;Venezuela;1
ESTADUAL - SE;LIMEIRA;COSMOPOLIS;COSMOPOLIS;8;917761;ALBERTO FIERZ;Japão;2
ESTADUAL - SE;CAIEIRAS;CAIEIRAS;CAIEIRAS;8;5575;ALBERTO GRAF CAPITAO;Bolívia;1
ESTADUAL - SE;RIBEIRAO PRETO;RIBEIRAO PRETO;RIBEIRAO PRETO;8;23978;ALBERTO JOSE GONCALVES DOM;Paraguai;1
ESTADUAL - SE;CARAPICUIBA;CARAPICUIBA;CARAPICUIBA;8;9696;ALBERTO KENWORTHY;Espanha;1
ESTADUAL - SE;CARAPICUIBA;CARAPICUIBA;CARAPICUIBA;8;9696;ALBERTO KENWORTHY;Haiti;1
ESTADUAL - SE;CARAPICUIBA;CARAPICUIBA;CARAPICUIBA;8;9696;ALBERTO KENWORTHY;Uruguai;1
ESTADUAL - SE;CENTRO OESTE;SAUDE;SAO PAULO;8;4145;ALBERTO LEVY PROFESSOR;China;1
ESTADUAL - SE;SUL 3;CIDADE DUTRA;SAO PAULO;8;5289;ALBERTO SALOTTI PROF EE;Bolívia;3
ESTADUAL - SE;SUL 3;CIDADE DUTRA;SAO PAULO;8;5289;ALBERTO SALOTTI PROF EE;Palestina;2
ESTADUAL - SE;SUL 3;CIDADE DUTRA;SAO PAULO;8;5289;ALBERTO SALOTTI PROF EE;Venezuela;1
ESTADUAL - SE;PRESIDENTE PRUDENTE;MARTINOPOLIS;MARTINOPOLIS;8;32475;ALBERTO SANTOS DUMONT;Japão;1
ESTADUAL - SE;LESTE 2;ITAIM PAULISTA;SAO PAULO;8;2938;ALBERTO SCHWEITZER;Bolívia;2
ESTADUAL - SE;CENTRO OESTE;BUTANTA;SAO PAULO;8;4157;ALBERTO TORRES;Guiné-Conacri;1
ESTADUAL - SE;NORTE 2;TUCURUVI;SAO PAULO;8;1173;ALBINO CESAR;Bolívia;8
ESTADUAL - SE;NORTE 2;TUCURUVI;SAO PAULO;8;1173;ALBINO CESAR;Colômbia;1
ESTADUAL - SE;NORTE 2;TUCURUVI;SAO PAULO;8;1173;ALBINO CESAR;Guatemala;1
ESTADUAL - SE;NORTE 2;TUCURUVI;SAO PAULO;8;1173;ALBINO CESAR;Japão;1
ESTADUAL - SE;NORTE 2;TUCURUVI;SAO PAULO;8;1173;ALBINO CESAR;Síria;1
ESTADUAL - SE;NORTE 2;TUCURUVI;SAO PAULO;8;1173;ALBINO CESAR;Venezuela;1
ESTADUAL - SE;SAO VICENTE;SAO VICENTE;SAO VICENTE;8;901404;ALBINO LUIZ CALDAS PROFESSOR;Venezuela;1
ESTADUAL - SE;JUNDIAI;JUNDIAI;JUNDIAI;8;39974;ALBINO MELO DE OLIVEIRA PROFESSOR;Haiti;1
ESTADUAL - SE;LESTE 2;ITAIM PAULISTA;SAO PAULO;8;38118;ALCEU GUERNER GONZALEZ PROF;Marrocos;1
ESTADUAL - SE;LESTE 2;ITAIM PAULISTA;SAO PAULO;8;38118;ALCEU GUERNER GONZALEZ PROF;Peru;1
ESTADUAL - SE;LESTE 2;ITAIM PAULISTA;SAO PAULO;8;38118;ALCEU GUERNER GONZALEZ PROF;Suriname;1
ESTADUAL - SE;LESTE 2;ITAIM PAULISTA;SAO PAULO;8;38118;ALCEU GUERNER GONZALEZ PROF;Venezuela;2
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;47016;ALCHESTE DE GODOY ANDIA PROFA;Bolívia;2
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;8;47016;ALCHESTE DE GODOY ANDIA PROFA;Haiti;6
ESTADUAL - SE;LESTE 3;SAO RAFAEL;SAO PAULO;8;3177;ALCIDES BOSCOLO PROFESSOR;Venezuela;1
ESTADUAL - SE;RIBEIRAO PRETO;RIBEIRAO PRETO;RIBEIRAO PRETO;8;23930;ALCIDES CORREA PROFESSOR;Bolívia;2
ESTADUAL - SE;RIBEIRAO PRETO;RIBEIRAO PRETO;RIBEIRAO PRETO;8;23930;ALCIDES CORREA PROFESSOR;Síria;2
ESTADUAL - SE;CENTRO OESTE;BUTANTA;SAO PAULO;8;37597;ALCIDES DA COSTA VIDIGAL;Bolívia;1
ESTADUAL - SE;CENTRO OESTE;BUTANTA;SAO PAULO;8;37597;ALCIDES DA COSTA VIDIGAL;Venezuela;1
ESTADUAL - SE;CARAGUATATUBA;CARAGUATATUBA;CARAGUATATUBA;8;11332;ALCIDES DE CASTRO GALVAO;Venezuela;1
ESTADUAL - SE;PIRACICABA;PIRACICABA;PIRACICABA;8;20761;ALCIDES GUIDETTI ZAGATTO PROFESSOR;Haiti;1
ESTADUAL - SE;BRAGANCA PAULISTA;BRAGANCA PAULISTA;BRAGANCA PAULISTA;8;17991;ALCINDO BUENO DE ASSIS MINISTRO;Colômbia;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;16998;ALCINDO SOARES DO NASCIMENTO PROF;Haiti;1
ESTADUAL - SE;OSASCO;OSASCO;OSASCO;8;10728;ALCYR OLIVEIRA PORCIUNCULA PROFESSOR;Peru;1
ESTADUAL - SE;OSASCO;OSASCO;OSASCO;8;10728;ALCYR OLIVEIRA PORCIUNCULA PROFESSOR;Venezuela;1
ESTADUAL - SE;ITAPEVI;BARUERI;BARUERI;8;9912;ALDEIA DE BARUERI;Peru;1
ESTADUAL - SE;DIADEMA;DIADEMA;DIADEMA;8;7432;ALDEMIR DE SOUZA CASTRO PROFESSOR;Haiti;1
ESTADUAL - SE;JUNDIAI;JUNDIAI;JUNDIAI;8;435119;ALESSANDRA CRISTINA RODRIGUES DE O PEZZATO PROFA;Haiti;5
ESTADUAL - SE;SUL 3;CIDADE DUTRA;SAO PAULO;8;909212;ALEXANDRE ANSALDO MOZZILLI PROFESSOR;Bolívia;2
ESTADUAL - SE;SUL 3;CIDADE DUTRA;SAO PAULO;8;909212;ALEXANDRE ANSALDO MOZZILLI PROFESSOR;Venezuela;14
ESTADUAL - SE;AMERICANA;NOVA ODESSA;NOVA ODESSA;8;903784;ALEXANDRE BASSORA;Haiti;2
ESTADUAL - SE;CENTRO SUL;IPIRANGA;SAO PAULO;8;4479;ALEXANDRE DE GUSMAO;Bolívia;3
ESTADUAL - SE;CENTRO SUL;IPIRANGA;SAO PAULO;8;4479;ALEXANDRE DE GUSMAO;Colômbia;1
ESTADUAL - SE;CENTRO SUL;IPIRANGA;SAO PAULO;8;4479;ALEXANDRE DE GUSMAO;Venezuela;1
ESTADUAL - SE;GUARULHOS SUL;GUARULHOS SUL;GUARULHOS;8;908873;ALEXANDRE LOPES OLIVEIRA;Cuba;1
ESTADUAL - SE;SUL 3;PARELHEIROS;SAO PAULO;8;5319;ALEXANDRE MARCONDES FILHO SENADOR;Venezuela;2
ESTADUAL - SE;ITAPECERICA DA SERRA;EMBU-GUACU;EMBU-GUACU;8;35403;ALEXANDRE RODRIGUES NOGUEIRA;Venezuela;1
ESTADUAL - SE;TABOAO DA SERRA;EMBU DAS ARTES;EMBU DAS ARTES;8;38581;ALEXANDRINA BASSITH;Bolívia;1
ESTADUAL - SE;SAO VICENTE;PRAIA GRANDE;PRAIA GRANDE;8;907972;ALEXANDRINA SANTIAGO NETTO;Argentina;1
ESTADUAL - SE;LESTE 4;SAO MATEUS;SAO PAULO;8;3300;ALFREDO ASHCAR PROF;Bolívia;3
ESTADUAL - SE;LESTE 4;SAO MATEUS;SAO PAULO;8;3300;ALFREDO ASHCAR PROF;Haiti;1
ESTADUAL - SE;SAO BERNARDO DO CAMPO;SAO CAETANO DO SUL;SAO CAETANO DO SUL;8;9441;ALFREDO BURKART PROFESSOR;Japão;1
ESTADUAL - SE;PIRACICABA;PIRACICABA;PIRACICABA;8;20977;ALFREDO CARDOSO DOUTOR;Venezuela;1
ESTADUAL - SE;NORTE 2;CACHOEIRINHA;SAO PAULO;8;40319;ALFREDO GOMES PROF;Bolívia;3
ESTADUAL - SE;NORTE 2;CACHOEIRINHA;SAO PAULO;8;40319;ALFREDO GOMES PROF;Peru;1
ESTADUAL - SE;NORTE 2;TUCURUVI;SAO PAULO;8;1168;ALFREDO INACIO TRINDADE;Bolívia;22
ESTADUAL - SE;NORTE 2;TUCURUVI;SAO PAULO;8;1168;ALFREDO INACIO TRINDADE;Venezuela;1
